서울중부경찰서,서울 중구 저동2가 62-1
서울종로경찰서,서울 종로구 공평동 1
서울남대문경찰서,서울 중구 남대문로5가 561
서울서대문경찰서,서울 서대문구 미근동 165
서울혜화경찰서,서울 종로구 인의동 48-57
서울용산경찰서,서울 용산구 원효로1가 12-12
서울성북경찰서,서울 성북구 삼선동5가 301
서울동대문경찰서,서울 동대문구 청량리동 229
서울마포경찰서,서울 마포구 아현동 618-1
서울영등포경찰서,서울 영등포구 당산동3가 2-11
서울성동경찰서,서울 성동구 행당동 192-8
서울동작경찰서,서울 동작구 노량진동 72-35
서울광진경찰서,서울 광진구 구의동 254-32
서울서부경찰서,서울 은평구 녹번동 177-15
서울강북경찰서,서울 강북구 번동 415-15
서울금천경찰서,서울 금천구 시흥동 1030
서울중랑경찰서,서울 중랑구 신내동 810
서울강남경찰서,서울 강남구 대치동 998
서울관악경찰서,서울 관악구 봉천동 1695-5
서울강서경찰서,서울 강서구 화곡동 980-27
서울강동경찰서,서울 강동구 성내동 541-1
서울종암경찰서,서울 성북구 하월곡동 27-5
서울구로경찰서,서울 구로구 구로동 436
서울서초경찰서,서울 서초구 서초동 1726-1
서울양천경찰서,서울 양천구 신정동 321
서울송파경찰서,서울 송파구 가락동 9
서울노원경찰서,서울 노원구 하계동 250
서울방배경찰서,서울 서초구 방배동 455-10
서울은평경찰서,서울 은평구 불광동 산 24
서울도봉경찰서,서울 도봉구 창동 17
서울수서경찰서,서울 강남구 개포동 14